id,year,month,authors,title,title_ja,note,venue,links,award,hidden,rm_id,rm_target,rm_type,rm_skip,journal,volume,number,pages,doi,referee,lang
p0217,2017,,"中西亮輔, 井上昂治, 中村静, 高梨克也, 河原達也",円滑な発話権制御のための談話行為の連鎖に基づく フィラーの生起と形態の予測,,,"人工知能学会研究会資料, SLUD-B506-04",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=8542&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0218,2017,,"稲熊寛文, 井上昂治, 三村正人, 河原達也",LSTM-CTCによる音声対話におけるSocial Signalsの検出,,,"情報処理学会研究報告, SLP-115-9",Link | https://webcache.googleusercontent.com/search?q=cache:f9M9SWZsyx8J:https://ipsj.ixsq.nii.ac.jp/ej/%3Faction%3Drepository_uri%26item_id%3D177382+&cd=1&hl=ja&ct=clnk&gl=jp,,,,,,,,,,,,,
p0219,2016,,"中西亮輔, 井上昂治, 中村静, 高梨克也, 河原達也",発話行為の連鎖を考慮したフィラーの生起と形態の分析,,,"人工知能学会研究会資料, SLUD-B505-30",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=1310&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0220,2016,,"稲熊寛文, 井上昂治, 中村静, 高梨克也, 河原達也",初対面対話における韻律的特徴に基づくアイスブレーキングの分析と予測,,,"人工知能学会研究会資料, SLUD-B505-29",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=1309&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0221,2016,,"井上昂治, Lala Divesh, 高梨克也, 河原達也",階層ベイズモデルを用いた聞き手の多様なふるまいに基づく対話エンゲージメントの推定,,,"人工知能学会研究会資料, SLUD-B505-28",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=1308&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0222,2016,,"井上昂治, Milohorat Pierrick, Lala Divesh, 趙天雨, 河原達也",自律型アンドロイドERICAによる社会的役割に則したインタラクション,,,"人工知能学会研究会資料, SLUD-B505-7",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=1288&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0223,2016,,"石田真也, 井上昂治, 中村静, 高梨克也, 河原達也",傾聴対話システムのための発話を促す聞き手応答の生成,,,"人工知能学会研究会資料, SLUD-B504-01",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=1147&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0224,2016,,"稲熊寛文, 井上昂治, 中村静, 高梨克也, 河原達也",初対面対話における場の和みのマルチモーダルな分析と検出,,,"第78回情報処理学会全国大会, 6Q-02",,,,,,,,,,,,,,
p0225,2016,,"石田真也, 井上昂治, 中村静, 高梨克也, 河原達也",傾聴対話システムのための多様な聞き手応答の生成,,,"第78回情報処理学会全国大会, 6Q-01",,学生奨励賞,,,,,,,,,,,,
p0226,2016,,"井上昂治, 三村正人, 石井カルロス寿憲, 河原達也",自律型アンドロイドERICAのための遠隔音声認識,,,"日本音響学会2016春季研究発表会, 1-1-1",,学生優秀発表賞,,,,,,,,,,,,
